,pair,i,dist,ln(dj)
100,"[4, 233]",0,0.8080841540333835,-0.21308907485296855
101,"[4, 233]",1,1.570350279396302,0.45129870237108516
102,"[4, 233]",2,2.2703523955543514,0.8199350597770912
103,"[4, 233]",3,1.7538529014715127,0.5618150258217058
104,"[4, 233]",4,2.033027299373821,0.7095259626789361
105,"[4, 233]",5,2.220360331117372,0.7976694940272635
106,"[4, 233]",6,2.051852821232565,0.7187432001906612
107,"[4, 233]",7,1.47648230602338,0.3896624384005259
108,"[4, 233]",8,1.021077861869476,0.020858796675905837
109,"[4, 233]",9,1.6042443704124332,0.4726528484713367
110,"[4, 233]",10,1.6780047675737908,0.5176054492649298
111,"[4, 233]",11,0.7406078584513799,-0.3002839996334815
112,"[4, 233]",12,0.7088018058668479,-0.34417933191396977
113,"[4, 233]",13,0.5999999999997726,-0.5108256237663696
114,"[4, 233]",14,0.11180339887509116,-2.1910133173360316
115,"[4, 233]",15,0.3984971769032799,-0.9200548650849162
116,"[4, 233]",16,1.079675877289061,0.07666088247178332
117,"[4, 233]",17,1.7891059219621208,0.581716010131146
118,"[4, 233]",18,2.005617112013109,0.6959517999421763
119,"[4, 233]",19,2.0306156701847704,0.7083390328771586
120,"[4, 233]",20,1.9589793260777908,0.6724235856028841
121,"[4, 233]",21,1.7586642658564662,0.5645545810551318
122,"[4, 233]",22,1.5465122049308557,0.43600220508136134
123,"[4, 233]",23,0.6562011886609955,-0.42128784702581706
124,"[4, 233]",24,0.5903388857257776,-0.527058524390847
125,"[5, 233]",0,1.4798986451780467,0.39197360244315055
126,"[5, 233]",1,1.9912307751739524,0.6887529275433879
127,"[5, 233]",2,1.8822327167488577,0.6324586874766152
128,"[5, 233]",3,1.9674348782105777,0.6767306020122569
129,"[5, 233]",4,2.0060907257648193,0.696187915717832
130,"[5, 233]",5,2.075042168246213,0.7299814755225392
131,"[5, 233]",6,1.4689111613709442,0.38452141978163273
132,"[5, 233]",7,1.1335784048753692,0.12537935917350848
133,"[5, 233]",8,1.5503870484495557,0.4385046084362654
134,"[5, 233]",9,1.7344163283364846,0.5506709466195232
135,"[5, 233]",10,0.8598255637046767,-0.15102574320949738
136,"[5, 233]",11,0.711688133946395,-0.340115477646599
137,"[5, 233]",12,0.35355339059315155,-1.0397207708402636
138,"[5, 233]",13,0.05656854249503313,-2.872302234586295
139,"[5, 233]",14,0.22847319317591844,-1.4763363920467667
140,"[5, 233]",15,1.1081967334366893,0.10273412981699837
141,"[5, 233]",16,1.7085666507337853,0.535654803069993
142,"[5, 233]",17,2.2214409737826317,0.7981560726076193
143,"[5, 233]",18,2.1734764779034994,0.7763279491675369
144,"[5, 233]",19,2.1038060747132796,0.7437481208144852
145,"[5, 233]",20,1.8249657531033971,0.601561221435586
146,"[5, 233]",21,1.9534584715320178,0.6696013767930472
